trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,left,>><>>,left,1,1091
2,practice,incongruent,left,>><>>,left,1,487
3,practice,congruent,right,>>>>>,right,1,635
4,practice,incongruent,right,<<><<,right,1,579
1,main,congruent,left,<<<<<,left,1,441
2,main,incongruent,right,<<><<,left,0,393
3,main,congruent,left,<<<<<,left,1,426
4,main,incongruent,right,<<><<,right,1,377
5,main,congruent,left,<<<<<,left,1,362
6,main,congruent,right,>>>>>,right,1,314
7,main,congruent,right,>>>>>,right,1,377
8,main,incongruent,right,<<><<,left,0,396
9,main,congruent,right,>>>>>,right,1,442
10,main,incongruent,left,>><>>,left,1,499
11,main,congruent,left,<<<<<,left,1,408
12,main,congruent,right,>>>>>,right,1,378
13,main,congruent,right,>>>>>,right,1,515
14,main,congruent,left,<<<<<,left,1,444
15,main,incongruent,left,>><>>,left,1,651
16,main,incongruent,left,>><>>,right,0,397
17,main,congruent,left,<<<<<,left,1,429
18,main,incongruent,left,>><>>,left,1,492
19,main,incongruent,left,>><>>,left,1,599
20,main,incongruent,right,<<><<,right,1,600
