trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,right,<<><<,right,1,680
2,practice,congruent,left,<<<<<,left,1,328
3,practice,incongruent,right,<<><<,right,1,426
4,practice,incongruent,left,>><>>,right,0,338
1,main,incongruent,left,>><>>,left,1,514
2,main,incongruent,right,<<><<,right,1,445
3,main,incongruent,left,>><>>,left,1,512
4,main,congruent,right,>>>>>,right,1,377
5,main,congruent,left,<<<<<,left,1,394
6,main,incongruent,right,<<><<,right,1,447
7,main,congruent,right,>>>>>,right,1,376
8,main,incongruent,left,>><>>,left,1,429
9,main,incongruent,left,>><>>,left,1,463
10,main,congruent,left,<<<<<,left,1,394
11,main,congruent,left,<<<<<,left,1,359
12,main,congruent,left,<<<<<,left,1,377
13,main,congruent,left,<<<<<,left,1,359
14,main,incongruent,right,<<><<,right,1,429
15,main,incongruent,right,<<><<,right,1,447
16,main,incongruent,right,<<><<,right,1,514
17,main,incongruent,right,<<><<,right,1,546
18,main,incongruent,left,>><>>,left,1,513
19,main,congruent,left,<<<<<,left,1,394
20,main,incongruent,right,<<><<,right,1,431
