trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,congruent,left,<<<<<,left,1,951
2,practice,congruent,left,<<<<<,left,1,768
3,practice,incongruent,left,>><>>,right,0,715
4,practice,congruent,right,>>>>>,right,1,653
1,main,congruent,left,<<<<<,left,1,513
2,main,incongruent,right,<<><<,right,1,653
3,main,incongruent,left,>><>>,left,1,1350
4,main,incongruent,left,>><>>,left,1,613
5,main,congruent,left,<<<<<,left,1,686
6,main,incongruent,right,<<><<,right,1,669
7,main,incongruent,left,>><>>,left,1,582
8,main,incongruent,left,>><>>,left,1,651
9,main,congruent,right,>>>>>,right,1,585
10,main,incongruent,right,<<><<,right,1,515
11,main,congruent,left,<<<<<,left,1,501
12,main,congruent,right,>>>>>,right,1,447
13,main,congruent,left,<<<<<,left,1,431
14,main,incongruent,left,>><>>,left,1,479
15,main,incongruent,left,>><>>,left,1,650
16,main,congruent,left,<<<<<,left,1,480
17,main,congruent,left,<<<<<,left,1,446
18,main,congruent,left,<<<<<,left,1,430
19,main,congruent,left,<<<<<,left,1,429
20,main,congruent,right,>>>>>,right,1,413
